participant,final_rating,final_moves,response_list,response_dir,is_correct,trial_list,rt,met_score,stimuli_type,delta_f,stimuli_direction,delta_t,response_f
1727,11.0,3.0,"10,12,11",m,False,main_files/trial_tone/tone_150hz_75db_250ff-10p-80.wav,6.8317,25.0,tone,10,p,80,150.0
1727,12.0,2.0,"13,12",h,True,main_files/trial_tone/tone_150hz_75db_250ff-30p-250.wav,6.2866,25.0,tone,30,p,250,155.0
1727,10.0,1.0,10,l,False,main_files/trial_tone/tone_150hz_75db_250ff-40p-40.wav,2.505,25.0,tone,40,p,40,145.0
1727,10.0,4.0,"10,11,9,10",l,False,main_files/trial_tone/tone_150hz_75db_250ff-10p-60.wav,8.6529,25.0,tone,10,p,60,145.0
1727,12.0,2.0,"13,12",h,False,main_files/trial_tone/tone_150hz_75db_250ff-30n-80.wav,3.5704,25.0,tone,30,n,80,155.0
1727,11.0,2.0,"10,11",m,False,main_files/trial_tone/tone_150hz_75db_250ff-10n-40.wav,4.1527,25.0,tone,10,n,40,150.0
1727,12.0,9.0,"12,13,12,10,11,10,12,11,12",h,True,main_files/trial_tone/tone_150hz_75db_250ff-10p-120.wav,19.812,25.0,tone,10,p,120,155.0
1727,10.0,1.0,10,l,True,main_files/trial_tone/tone_150hz_75db_250ff-20n-80.wav,2.1557,25.0,tone,20,n,80,145.0
1727,11.0,0.0,,l,True,main_files/trial_tone/tone_150hz_75db_250ff-20n-120.wav,0.0,25.0,tone,20,n,120,150.0
1727,11.0,0.0,,l,True,main_files/trial_tone/tone_150hz_75db_250ff-10n-80.wav,0.0,25.0,tone,10,n,80,150.0
1727,12.0,2.0,"13,12",h,True,main_files/trial_tone/tone_150hz_75db_250ff-30p-80.wav,3.9146,25.0,tone,30,p,80,155.0
1727,11.0,8.0,"12,10,11,10,1,9,10,11",m,True,main_files/trial_tone/tone_150hz_75db_250ff-000-250.wav,17.3858,25.0,tone,0,0,0,150.0
1727,12.0,1.0,12,h,False,main_files/trial_tone/tone_150hz_75db_250ff-30n-40.wav,1.9784,25.0,tone,30,n,40,155.0
1727,14.0,5.0,"12,13,14,15,14",h,True,main_files/trial_tone/tone_150hz_75db_250ff-40p-120.wav,9.1469,25.0,tone,40,p,120,165.0
1727,6.0,3.0,"8,5,6",l,True,main_files/trial_tone/tone_150hz_75db_250ff-40n-120.wav,5.9203,25.0,tone,40,n,120,125.0
1727,11.0,0.0,,l,True,main_files/trial_tone/tone_150hz_75db_250ff-40n-40.wav,0.0,25.0,tone,40,n,40,150.0
1727,13.0,2.0,"14,13",h,True,main_files/trial_tone/tone_150hz_75db_250ff-20p-60.wav,4.0777,25.0,tone,20,p,60,160.0
1727,12.0,2.0,"13,12",h,True,main_files/trial_tone/tone_150hz_75db_250ff-20p-40.wav,3.8367,25.0,tone,20,p,40,155.0
1727,4.0,4.0,"1,4,5,4",l,True,main_files/trial_tone/tone_150hz_75db_250ff-40n-250.wav,9.6226,25.0,tone,40,n,250,115.0
1727,11.0,2.0,"10,11",m,False,main_files/trial_tone/tone_150hz_75db_250ff-10p-40.wav,5.4034,25.0,tone,10,p,40,150.0
1727,13.0,5.0,"14,13,14,12,13",h,True,main_files/trial_tone/tone_150hz_75db_250ff-40p-60.wav,10.4366,25.0,tone,40,p,60,160.0
1727,9.0,6.0,"7,8,9,8,10,9",l,True,main_files/trial_tone/tone_150hz_75db_250ff-30n-60.wav,10.3644,25.0,tone,30,n,60,140.0
1727,13.0,9.0,"12,13,20,12,11,13,12,14,13",h,False,main_files/trial_tone/tone_150hz_75db_250ff-10n-120.wav,18.8606,25.0,tone,10,n,120,160.0
1727,10.0,5.0,"8,9,10,11,10",l,False,main_files/trial_tone/tone_150hz_75db_250ff-20p-120.wav,8.5697,25.0,tone,20,p,120,145.0
1727,11.0,0.0,,l,False,main_files/trial_tone/tone_150hz_75db_250ff-000-40.wav,0.0,25.0,tone,0,0,0,150.0
1727,14.0,4.0,"15,14,13,14",h,True,main_files/trial_tone/tone_150hz_75db_250ff-40p-250.wav,7.673,25.0,tone,40,p,250,165.0
1727,9.0,4.0,"8,9,10,9",l,True,main_files/trial_tone/tone_150hz_75db_250ff-20n-250.wav,7.0876,25.0,tone,20,n,250,140.0
1727,9.0,10.0,"14,13,11,8,9,10,20,7,8,9",l,True,main_files/trial_tone/tone_150hz_75db_250ff-40n-100.wav,22.3102,25.0,tone,40,n,100,140.0
1727,14.0,6.0,"15,14,13,12,15,14",h,True,main_files/trial_tone/tone_150hz_75db_250ff-30p-100.wav,14.5112,25.0,tone,30,p,100,165.0
1727,11.0,0.0,,l,True,main_files/trial_tone/tone_150hz_75db_250ff-10n-60.wav,0.0,25.0,tone,10,n,60,150.0
1727,11.0,0.0,,l,True,main_files/trial_tone/tone_150hz_75db_250ff-20n-40.wav,0.0,25.0,tone,20,n,40,150.0
1727,14.0,4.0,"14,13,15,14",h,True,main_files/trial_tone/tone_150hz_75db_250ff-20p-100.wav,7.3229,25.0,tone,20,p,100,165.0
1727,11.0,0.0,,l,False,main_files/trial_tone/tone_150hz_75db_250ff-30p-40.wav,0.0,25.0,tone,30,p,40,150.0
1727,9.0,4.0,"8,9,10,9",l,True,main_files/trial_tone/tone_150hz_75db_250ff-30n-100.wav,7.4448,25.0,tone,30,n,100,140.0
1727,14.0,5.0,"14,13,12,15,14",h,True,main_files/trial_tone/tone_150hz_75db_250ff-30p-120.wav,8.9808,25.0,tone,30,p,120,165.0
1727,6.0,2.0,"7,6",l,True,main_files/trial_tone/tone_150hz_75db_250ff-30n-250.wav,4.155,25.0,tone,30,n,250,125.0
1727,15.0,6.0,"17,16,15,14,16,15",h,True,main_files/trial_tone/tone_150hz_75db_250ff-30p-60.wav,11.6454,25.0,tone,30,p,60,170.0
1727,11.0,0.0,,l,False,main_files/trial_tone/tone_150hz_75db_250ff-10p-100.wav,0.0,25.0,tone,10,p,100,150.0
1727,12.0,2.0,"13,12",h,True,main_files/trial_tone/tone_150hz_75db_250ff-40p-100.wav,4.048,25.0,tone,40,p,100,155.0
1727,11.0,2.0,"10,11",m,True,main_files/trial_tone/tone_150hz_75db_250ff-000-80.wav,3.9393,25.0,tone,0,0,0,150.0
1727,11.0,2.0,"12,11",m,True,main_files/trial_tone/tone_150hz_75db_250ff-000-120.wav,5.7382,25.0,tone,0,0,0,150.0
1727,11.0,2.0,"10,11",m,True,main_files/trial_tone/tone_150hz_75db_250ff-000-60.wav,4.1644,25.0,tone,0,0,0,150.0
1727,14.0,9.0,"12,13,11,12,13,14,15,13,14",h,True,main_files/trial_tone/tone_150hz_75db_250ff-20p-80.wav,18.4377,25.0,tone,20,p,80,165.0
1727,9.0,2.0,"8,9",l,True,main_files/trial_tone/tone_150hz_75db_250ff-20n-100.wav,3.5379,25.0,tone,20,n,100,140.0
1727,15.0,7.0,"9,14,13,15,14,16,15",h,False,main_files/trial_tone/tone_150hz_75db_250ff-10n-250.wav,14.9187,25.0,tone,10,n,250,170.0
1727,9.0,5.0,"20,8,9,10,9",l,True,main_files/trial_tone/tone_150hz_75db_250ff-40n-60.wav,14.3437,25.0,tone,40,n,60,140.0
1727,16.0,10.0,"15,16,17,16,18,17,16,15,17,16",h,True,main_files/trial_tone/tone_150hz_75db_250ff-40p-80.wav,18.8314,25.0,tone,40,p,80,175.0
1727,11.0,4.0,"10,9,12,11",m,False,main_files/trial_tone/tone_150hz_75db_250ff-20n-60.wav,8.0787,25.0,tone,20,n,60,150.0
1727,11.0,10.0,"10,9,8,7,6,11,10,13,12,11",m,False,main_files/trial_tone/tone_150hz_75db_250ff-40n-80.wav,15.9388,25.0,tone,40,n,80,150.0
1727,9.0,2.0,"8,9",l,False,main_files/trial_tone/tone_150hz_75db_250ff-20p-250.wav,4.0475,25.0,tone,20,p,250,140.0
1727,11.0,0.0,,l,True,main_files/trial_tone/tone_150hz_75db_250ff-10n-100.wav,0.0,25.0,tone,10,n,100,150.0
1304,10.0,1.0,10,l,False,main_files/trial_i/07_i_150hz_75db_250ff-40p-80.wav,2.5626,40.0,i,40,p,80,145.0
1304,11.0,0.0,,l,True,main_files/trial_i/07_i_150hz_75db_250ff-30n-100.wav,0.0,40.0,i,30,n,100,150.0
1304,12.0,1.0,12,h,True,main_files/trial_i/07_i_150hz_75db_250ff-20p-250.wav,2.1793,40.0,i,20,p,250,155.0
1304,11.0,0.0,,l,False,main_files/trial_i/07_i_150hz_75db_250ff-10p-60.wav,0.0,40.0,i,10,p,60,150.0
1304,10.0,3.0,"8,9,10",l,True,main_files/trial_i/07_i_150hz_75db_250ff-30n-250.wav,8.1805,40.0,i,30,n,250,145.0
