participant,final_rating,trial_list,rt,stimuli_type,delta_f,stimuli_direction,delta_t,response_f
ENG002,12.0,main_files/trial_tone/tone_150hz_75db_250ff-000-120.wav,7.8953,tone,0,0,0,155.0
ENG002,11.0,main_files/trial_tone/tone_150hz_75db_250ff-10n-100.wav,0.0,tone,10,n,100,150.0
ENG002,11.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-10p-120.wav,0.0,di,10,p,120,150.0
ENG002,12.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-10p-40.wav,1.8636,di,10,p,40,155.0
ENG002,12.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-20p-40.wav,2.6634,di,20,p,40,155.0
ENG002,11.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-10p-100.wav,0.0,di,10,p,100,150.0
ENG002,9.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-20n-60.wav,3.8979,di,20,n,60,140.0
ENG002,14.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-40p-120.wav,1.9147,di,40,p,120,165.0
ENG002,11.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-10n-60.wav,0.0,di,10,n,60,150.0
ENG002,9.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-20n-80.wav,6.9672,di,20,n,80,140.0
ENG002,11.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-20n-40.wav,0.0,di,20,n,40,150.0
ENG002,9.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-30n-60.wav,2.0315,di,30,n,60,140.0
ENG002,14.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-30p-100.wav,1.7964,di,30,p,100,165.0
ENG002,12.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-10p-80.wav,2.262,di,10,p,80,155.0
ENG002,12.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-20p-80.wav,2.1952,di,20,p,80,155.0
ENG002,8.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-40n-120.wav,4.1463,di,40,n,120,135.0
ENG002,14.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-30p-120.wav,1.7541,di,30,p,120,165.0
ENG002,9.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-40n-60.wav,1.8624,di,40,n,60,140.0
ENG002,9.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-10n-120.wav,2.4641,di,10,n,120,140.0
ENG002,14.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-30p-80.wav,2.1634,di,30,p,80,165.0
ENG002,9.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-40n-100.wav,2.0293,di,40,n,100,140.0
ENG002,11.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-000-80.wav,0.0,di,0,0,0,150.0
ENG002,10.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-30n-80.wav,2.0621,di,30,n,80,145.0
ENG002,9.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-30n-120.wav,1.6728,di,30,n,120,140.0
ENG002,14.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-20p-60.wav,1.7961,di,20,p,60,165.0
ENG002,10.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-10n-40.wav,2.9627,di,10,n,40,145.0
ENG002,15.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-40p-60.wav,2.18,di,40,p,60,170.0
ENG002,11.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-000-60.wav,0.0,di,0,0,0,150.0
ENG002,11.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-000-40.wav,0.0,di,0,0,0,150.0
ENG002,13.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-20p-100.wav,1.796,di,20,p,100,160.0
ENG002,8.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-30n-100.wav,1.8821,di,30,n,100,135.0
ENG002,9.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-20n-100.wav,3.0449,di,20,n,100,140.0
ENG002,10.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-30n-40.wav,1.5272,di,30,n,40,145.0
ENG002,10.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-10n-80.wav,2.3278,di,10,n,80,145.0
ENG002,15.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-40p-80.wav,5.8282,di,40,p,80,170.0
ENG002,15.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-40p-100.wav,1.8453,di,40,p,100,170.0
ENG002,11.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-000-100.wav,0.0,di,0,0,0,150.0
ENG002,8.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-40n-80.wav,3.0502,di,40,n,80,135.0
ENG002,14.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-20p-120.wav,1.7447,di,20,p,120,165.0
ENG002,11.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-10p-60.wav,0.0,di,10,p,60,150.0
ENG002,13.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-40p-40.wav,1.661,di,40,p,40,160.0
ENG002,11.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-30p-40.wav,0.0,di,30,p,40,150.0
ENG002,11.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-40n-40.wav,0.0,di,40,n,40,150.0
ENG002,10.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-20n-120.wav,1.7507,di,20,n,120,145.0
ENG002,14.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-30p-60.wav,2.1859,di,30,p,60,165.0
ENG002,11.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-000-120.wav,0.0,di,0,0,0,150.0
ENG002,11.0,main_files/trial_di/07_di_cross_150hz_75db_250ff-10n-100.wav,0.0,di,10,n,100,150.0
ENG002,11.0,main_files/trial_i/07_i_150hz_75db_250ff-10p-120.wav,0.0,i,10,p,120,150.0
ENG002,11.0,main_files/trial_i/07_i_150hz_75db_250ff-10p-40.wav,0.0,i,10,p,40,150.0
ENG002,11.0,main_files/trial_i/07_i_150hz_75db_250ff-20p-40.wav,0.0,i,20,p,40,150.0
ENG002,12.0,main_files/trial_i/07_i_150hz_75db_250ff-10p-100.wav,3.2181,i,10,p,100,155.0
ENG002,11.0,main_files/trial_i/07_i_150hz_75db_250ff-20n-60.wav,0.0,i,20,n,60,150.0
ENG002,13.0,main_files/trial_i/07_i_150hz_75db_250ff-40p-120.wav,1.8527,i,40,p,120,160.0
