wals code,name,value,description,latitude,longitude,genus,family
nob,Nobiin,2,Simple tone system,21.0,31.0,Nubian,Eastern Sudanic
non,Noni,3,Complex tone system,6.41666666667,10.5833333333,Beboid,Niger-Congo
nor,Norwegian,2,Simple tone system,61.0,8.0,Germanic,Indo-European
nun,Nung (in Vietnam),3,Complex tone system,21.9166666667,106.416666667,Kam-Tai,Tai-Kadai
nug,Nunggubuyu,1,No tones,-13.75,135.666666667,Nunggubuyu,Gunwinyguan
nuu,Nuuchahnulth,1,No tones,49.6666666667,-126.666666667,Southern Wakashan,Wakashan
nkt,Nyah Kur (Tha Pong),2,Simple tone system,15.6666666667,101.666666667,Monic,Austro-Asiatic
nyg,Nyangi,2,Simple tone system,3.41666666667,33.5833333333,Kuliak,Eastern Sudanic
nyi,Nyimang,3,Complex tone system,12.1666666667,29.3333333333,Nyimang,Eastern Sudanic
nis,Nyishi,2,Simple tone system,27.5,93.5,Tani,Sino-Tibetan
ood,O'odham,1,No tones,32.0,-112.0,Tepiman,Uto-Aztecan
oca,Ocaina,2,Simple tone system,-2.75,-71.75,Witoto,Witotoan
ogb,Ogbia,2,Simple tone system,4.66666666667,6.25,Central Delta,Niger-Congo
oji,Ojibwa (Eastern),1,No tones,46.0,-80.0,Algonquian,Algic
ond,Oneida,2,Simple tone system,43.0,-75.6666666667,Northern Iroquoian,Iroquoian
orm,Ormuri,1,No tones,32.5,69.75,Iranian,Indo-European
orh,Oromo (Harar),3,Complex tone system,9.0,42.0,Lowland East Cushitic,Afro-Asiatic
otm,Otom\'ed (Mezquital),2,Simple tone system,20.1666666667,-99.1666666667,Otomian,Oto-Manguean
pms,Paamese,1,No tones,-16.5,168.25,Oceanic,Austronesian
pac,Pacoh,1,No tones,16.4166666667,107.083333333,Katuic,Austro-Asiatic
pai,Paiwan,1,No tones,22.5,120.833333333,Paiwan,Austronesian
pnr,Panare,1,No tones,6.5,-66.0,Cariban,Cariban
puk,Parauk,1,No tones,23.25,99.5,Palaungic,Austro-Asiatic
psh,Pashto,1,No tones,33.0,67.0,Iranian,Indo-European
psm,Passamaquoddy-Maliseet,2,Simple tone system,45.0,-67.0,Algonquian,Algic
pau,Paumar\'ed,1,No tones,-6.0,-64.0,Arauan,Arauan
paw,Pawaian,2,Simple tone system,-7.0,145.083333333,Pawaian,Teberan-Pawaian
pec,Pech,2,Simple tone system,15.0,-85.5,Pech,Chibchan
prs,Persian,1,No tones,32.0,54.0,Iranian,Indo-European
phl,Phlong,3,Complex tone system,15.0,99.0,Karen,Sino-Tibetan
prh,Pirah\'e3,2,Simple tone system,-7.0,-62.0,Mura,Mura
pit,Pitjantjatjara,1,No tones,-26.0,130.0,Western Pama-Nyungan,Pama-Nyungan
poa,Po-Ai,3,Complex tone system,-20.6666666667,164.833333333,Oceanic,Austronesian
poh,Pohnpeian,1,No tones,6.88333333333,158.25,Oceanic,Austronesian
pol,Polish,1,No tones,52.0,20.0,Slavic,Indo-European
pur,Pur\'e9pecha,1,No tones,19.5,-101.666666667,Tarascan,Tarascan
pae,P\'e1ez,1,No tones,2.66666666667,-76.0,P\'e1ezan,P\'e1ezan
bng,Qaqet,1,No tones,-4.58333333333,152.0,Baining,Baining
qaw,Qawasqar,1,No tones,-49.0,-75.0,Alacalufan,Alacalufan
qco,Quechua (Cochabamba),1,No tones,-17.5,-66.0,Quechuan,Quechuan
qui,Quileute,2,Simple tone system,47.9166666667,-124.25,Chimakuan,Chimakuan
ram,Rama,1,No tones,11.75,-83.75,Rama,Chibchan
rap,Rapanui,1,No tones,-27.1166666667,-109.366666667,Oceanic,Austronesian
res,Res\'edgaro,2,Simple tone system,-2.41666666667,-71.5,Japura-Colombia,Arawakan
rom,Romanian,1,No tones,46.0,25.0,Romance,Indo-European
rsc,Romansch (Scharans),1,No tones,46.75,9.5,Romance,Indo-European
ror,Roro,1,No tones,-8.75,146.583333333,Oceanic,Austronesian
rtk,Rotokas,1,No tones,-6.0,155.166666667,North Bougainville,North Bougainville
ruk,Rukai (Tanan),1,No tones,22.8333333333,120.833333333,Rukai,Austronesian
rus,Russian,1,No tones,56.0,38.0,Slavic,Indo-European
rut,Rutul,2,Simple tone system,41.5,47.4166666667,Lezgic,Nakh-Daghestanian
scs,Saami (Central-South),1,No tones,64.6666666667,16.75,Saami,Uralic
sdw,Sandawe,2,Simple tone system,-5.0,35.0,Sandawe,Sandawe
san,Sango,2,Simple tone system,5.0,18.0,Ubangi,Niger-Congo
snm,Sanuma,1,No tones,4.5,-64.6666666667,Yanomam,Yanomam
svs,Savosavo,1,No tones,-9.13333333333,159.8,Savosavo,Solomons East Papuan
sed,Sedang,1,No tones,14.8333333333,108.0,Bahnaric,Austro-Asiatic
sel,Selknam,1,No tones,-53.0,-70.0,Chonan Proper,Chonan
sml,Semelai,1,No tones,3.0,103.0,Aslian,Austro-Asiatic
snd,Senadi,3,Complex tone system,9.5,-6.25,Senufo,Niger-Congo
snc,Seneca,1,No tones,42.5,-77.5,Northern Iroquoian,Iroquoian
