"","subject_condition","sim_n","BF","subj_n"
"650","beta4","sim50",Inf,55
"651","beta4","sim51",1.89540354686934,55
"652","beta4","sim52",Inf,55
"653","beta4","sim53",209.526315789474,55
"654","beta4","sim54",15.0965794768612,55
"655","beta4","sim55",28.9625468164794,55
"656","beta4","sim56",Inf,55
"657","beta4","sim57",7999,55
"658","beta4","sim58",Inf,55
"659","beta4","sim59",56.5539568345324,55
"660","beta4","sim60",999,55
"661","beta4","sim61",Inf,55
"662","beta4","sim62",Inf,55
"663","beta4","sim63",13.2348754448399,55
"664","beta4","sim64",7999,55
"665","beta4","sim65",274.862068965517,55
"666","beta4","sim66",570.428571428571,55
"667","beta4","sim67",7999,55
"668","beta4","sim68",306.692307692308,55
"669","beta4","sim69",65.6666666666667,55
"670","beta4","sim70",570.428571428571,55
"671","beta4","sim71",Inf,55
"672","beta4","sim72",Inf,55
"673","beta4","sim73",18.6560196560197,55
"674","beta4","sim74",2665.66666666667,55
"675","beta4","sim75",420.052631578947,55
"676","beta4","sim76",93.1176470588235,55
"677","beta4","sim77",46.6190476190476,55
"678","beta4","sim78",118.402985074627,55
"679","beta4","sim79",Inf,55
"680","beta4","sim80",420.052631578947,55
"681","beta4","sim81",25.6666666666667,55
"682","beta4","sim82",Inf,55
"683","beta4","sim83",11.2887864823349,55
"684","beta4","sim84",43.4444444444444,55
"685","beta4","sim85",111.676056338028,55
"686","beta4","sim86",20.3903743315508,55
"687","beta4","sim87",1599,55
"688","beta4","sim88",Inf,55
"689","beta4","sim89",13.1342756183746,55
"690","beta4","sim90",1.83788577509755,55
"691","beta4","sim91",Inf,55
"692","beta4","sim92",1599,55
"693","beta4","sim93",1332.33333333333,55
"694","beta4","sim94",Inf,55
"695","beta4","sim95",469.588235294118,55
"696","beta4","sim96",1999,55
"697","beta4","sim97",2.0686612965094,55
"698","beta4","sim98",Inf,55
"699","beta4","sim99",7999,55
"700","beta4","sim100",7999,55
"701","beta4","sim101",172.913043478261,55
"702","beta4","sim102",1599,55
"703","beta4","sim103",Inf,55
"704","beta4","sim104",3999,55
"705","beta4","sim105",1332.33333333333,55
"706","beta4","sim106",89.9090909090909,55
"707","beta4","sim107",Inf,55
"708","beta4","sim108",3999,55
"709","beta4","sim109",2665.66666666667,55
"710","beta4","sim110",Inf,55
"711","beta4","sim111",Inf,55
"712","beta4","sim112",274.862068965517,55
"713","beta4","sim113",5.82011935208866,55
"714","beta4","sim114",Inf,55
"715","beta4","sim115",7999,55
"716","beta4","sim116",1332.33333333333,55
"717","beta4","sim117",20.6216216216216,55
"718","beta4","sim118",799,55
"719","beta4","sim119",379.952380952381,55
"720","beta4","sim120",0.489203276247208,55
"721","beta4","sim121",Inf,55
"722","beta4","sim122",7999,55
"723","beta4","sim123",7999,55
"724","beta4","sim124",51.2875816993464,55
"725","beta4","sim125",4.76784426820476,55
"726","beta4","sim126",7999,55
"727","beta4","sim127",443.444444444444,55
"728","beta4","sim128",130.147540983607,55
